  main                  main program
  help                  Help options
  memcpymmx             MMX memcpy
  i420_rgb_mmx          MMX I420,IYUV,YV12 to RV15,RV16,RV24,RV32 conversions
  i422_yuy2_mmx         MMX conversions from I422 to YUY2,YUNV,YVYU,UYVY,UYNV,Y422,IUYV,cyuv
  i420_ymga_mmx         MMX conversions from I420,IYUV,YV12 to YMGA
  i420_yuy2_mmx         MMX conversions from I420,IYUV,YV12 to YUY2,YUNV,YVYU,UYVY,UYNV,Y422,IUYV,cyuv
  memcpymmxext          MMX EXT memcpy
  memcpy3dn             3D Now! memcpy
  live555               RTP/RTSP/SDP demuxer (using Live555)
  live555               RTSP/RTP access and demux
  mux_ts                TS muxer (libdvbpsi)
  quicktime             QuickTime library decoder
  a52sys                Raw A/52 demuxer
  a52tofloat32          ATSC A/52 (AC-3) audio decoder
  a52tofloat32          ATSC A/52 (AC-3) audio decoder
  a52tospdif            Audio filter for A/52->S/PDIF encapsulation
  a52                   A/52 parser
  a52                   A/52 audio packetizer
  access_directory      Standard filesystem directory input
  access_directory      Directory EOF
  access_fake           Fake input
  access_file           File input
  access_filter_dump    Dump
  access_filter_record  Record
  access_filter_timeshift Timeshift
  access_ftp            FTP input
  access_http           HTTP input
  access_mms            Microsoft Media Server (MMS) input
  access_output_dummy   Dummy stream output
  access_output_file    File stream output
  access_output_http    HTTP stream output
  access_output_shout   IceCAST output
  access_output_udp     UDP stream output
  access_realrtsp       Real RTSP
  access_smb            SMB input
  access_tcp            TCP input
  access_udp            UDP/RTP input
  adjust                Image properties filter
  adpcm                 ADPCM audio decoder
  aiff                  AIFF demuxer
  aout_directx          DirectX audio output
  aout_file             File audio output
  araw                  Raw/Log Audio decoder
  araw                  Raw audio encoder
  asf                   ASF v1.0 demuxer
  audio_format          Audio filter for PCM format conversion
  au                    AU demuxer
  avi                   AVI demuxer
  bandlimited_resampler Audio filter for band-limited interpolation resampling
  blend                 Video pictures blending
  caca                  Color ASCII art video output
  cdda                  Audio CD input
  cinepak               Cinepak video decoder
  clone                 Clone video filter
  cmml                  CMML annotations decoder
  cmml                  CMML annotations decoder
  crop                  Crop video filter
  cvdsub                CVD subtitle decoder
  cvdsub                Chaoji VCD subtitle packetizer
  deinterlace           Deinterlacing video filter
  deinterlace           Deinterlacing video filter
  demuxdump             File dumpper
  direct3d              DirectX 3D video output
  distort               Distort video filter
  dmo                   DirectMedia Object decoder
  dmo                   DirectMedia Object encoder
  dolby_surround_decoder Simple decoder for Dolby Surround encoded streams
